"Gene(s)","Standard Drug Name","Show Drug Name","PubChemId(s)","Status","Status Description","Therapy","Target","Source(s)","Curated Source(s)","Family(ies)","Cancer(s)","Indirect Gene(s)","Drug response","Best Interaction","DScore","GScore","Gene(s)","Target","Alteration","Status Info","Threrapy","Indirect Gene(s)","Indirect Pathway(s)","Sensitivity","Source(s)","Warning(s)","DScore","GScore"
"KRAS","AMG-510","SOTORASIB","137278711","APPROVED","Approved for lung cancer","TARGETED_THERAPY","target","DrugBank|MOAlmanac|OncoKB","DrugBank|MOAlmanac|OncoKB","K-Ras inhibitor(Cmap)","LUNG","-","SENSITIVITY","direct-target","0.914","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","target","somatic_variant (p.G12C) (according to MOAlmanac)|G12C (according to OncoKB)","SOTORASIB is a drug approved by FDA that acts as an inhibitor of KRAS","TARGETED_THERAPY","-","-","SENSITIVITY","DrugBank|MOAlmanac|OncoKB","-","0.914","0.6732"
"KRAS|MUC16","DOCETAXEL","DOCETAXEL","148124","APPROVED","Approved for breast, esophagus, head and neck, lung, prostate and stomach cancer","CHEMOTHERAPY","marker","JAX-CKB|NCI","JAX-CKB|NCI","tubulin polymerization inhibitor(Cmap)","BREAST|ESOPHAGUS|HEAD_AND_NECK|LUNG|PROSTATE|STOMACH","-","SENSITIVITY","biomarker","0.822","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to DOCETAXEL, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","JAX-CKB","-","0.822","0.6732"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MUC16","marker","-","Molecular alterations in MUC16 are associated with response to DOCETAXEL, a drug approved by FDA","CHEMOTHERAPY","-","-","SENSITIVITY","NCI","-","0.822","0.504"
"KRAS","TRAMETINIB","TRAMETINIB","11707110","APPROVED","Approved for lung, skin and thyroid cancer","TARGETED_THERAPY","marker","ClearityFoundationBiomarkers|GDSC|JAX-CKB|OncoKB|PharmGKB","ClearityFoundationBiomarkers|JAX-CKB|OncoKB","MEK inhibitor(Cmap)","LUNG|SKIN|THYROID","-","SENSITIVITY","biomarker","0.814","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","Oncogenic Mutations (according to OncoKB)|mutation (according to GDSC)","Molecular alterations in KRAS are associated with response to TRAMETINIB, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","ClearityFoundationBiomarkers|GDSC|JAX-CKB|OncoKB|PharmGKB","-","0.814","0.6732"
"KRAS","001, RAD","EVEROLIMUS","6442177","APPROVED","Approved for brain, breast, intestine, kidney, lung, pancreas, spinal cord and stomach cancer","TARGETED_THERAPY","marker","ClearityFoundationBiomarkers|JAX-CKB","ClearityFoundationBiomarkers|JAX-CKB","mTOR inhibitor(Cmap)","BRAIN|BREAST|INTESTINE|KIDNEY|LUNG|PANCREAS|SPINAL_CORD|STOMACH","-","SENSITIVITY","biomarker","0.813","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","KRAS","marker","-","Molecular alterations in KRAS are associated with response to EVEROLIMUS, a drug approved by FDA","TARGETED_THERAPY","-","-","SENSITIVITY","ClearityFoundationBiomarkers|JAX-CKB","-","0.813","0.6732"
"KRAS","PEMBROLIZUMAB","PEMBROLIZUMAB","-","APPROVED","Approved for bladder, blood, brain, breast, colon, esophagus, head and neck, kidney, liver, lung, rectum, skin, spinal cord, stomach and uterus cancer","TARGETED_THERAPY","marker","JAX-CKB|MOAlmanac","JAX-CKB|MOAlmanac","Other","BLADDER|BLOOD|BRAIN|BREAST|COLON|ESOPHAGUS|HEAD_AND_NECK|KIDNEY|LIVER|LUNG|RECTUM|SKIN|SPINAL_CORD|STOMACH|UTERUS","-","SENSITIVITY","biomarker","0.813","0.6732","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
